,                                                            ,,,,,,,,,,,,,
,Owner,Standing Points,Points For,Wins,Top 5 ,Shotguns,,,,,,,,
1,Grady Graham,17,989.1,6,5,0,,,,,,,,
2,Mekel Sanchez,16,926.8,6,4,0,,,,,,,,
3,Dylan Burruel,14,"1,018.3",5,4,0,,,,,,,,
4,Chase Seyforth,14,867.4,5,4,1,,,,,,,,
5,Chasen Hardy,12,"1,008.2",4,4,0,,,,,,,,
6,Connor Cassidy,12,967.2,3,6,1,,,,,,,,
7,Nick Salafia,11,936.7,4,3,1,,,,,,,,
8,Kevin Wells,9,880.3,3,3,2,,,,,,,,
9,Nando Munoz,8,951.2,2,4,0,,,,,,,,
10,Tommy Bruggeman,7,829.5,2,3,3,,,,,,,,
,,,,,,,,,,,,,,
,,Standing Points,Wins,Losses,Top 5 ,Points For,PF Per Game,Total Points Against,PA Per Game,PF/PA Delta,Shotguns,Average Weekly Finish,% of Total Standings Points,% of Total Points Scored
Moak,Dylan Burruel,14,5,3,4,"1,018",127,889,111,16,0,5.0,11.7%,10.9%
,Grady Graham,17,6,3,5,989,110,910,101,9,0,4.3,14.1%,10.6%
,Kevin Wells,9,3,5,3,880,110,948,118,-8,2,6.5,7.5%,9.4%
,Mekel Sanchez,16,6,2,4,927,116,864,108,8,0,5.6,13.3%,9.9%
,Nick Salafia,11,4,3,3,937,134,875,125,9,1,5.7,9.2%,10.0%
,,,24,16,19,"4,751",119,"4,485",113,7,3,5.4,55.8%,50.7%
,,,,,,,,,,,,,,
,,Standing Points,Wins,Losses,Top 5 ,Points For,PF Per Game,Points Against,PA Per Game,PF/PA Delta,Shotguns,Average Weekly Finish,% of Total Standings Points,% of Total Points Scored
Fortune 5,Chase Seyforth,14,5,3,4,867,108,805,101,8,1,6.6,11.6%,9.3%
,Chasen Hardy,12,4,4,4,"1,008",126,972,121,5,0,4.9,10.0%,10.8%
,Connor Cassidy,12,3,5,6,967,121,"1,043",130,-10,1,4.9,10.0%,10.3%
,Nando Munoz,8,2,6,4,951,119,"1,001",125,-6,0,5.4,6.7%,10.1%
,Tommy Bruggeman,7,2,6,3,830,104,"1,068",133,-30,3,6.3,5.9%,8.8%
,,,16,24,21,"4,624",116,"4,889",122,-7,5,5.6,44.2%,49.3%
