week,owner,points,opponent
1,ConnorZar,63.4,gmoney38
1,Dburruel,95.88,chaseseyforth
1,MekelS,114.32,RollPads
1,RollPads,103.14,MekelS
1,chaseseyforth,90.42,Dburruel
1,chaychayy,99.88,nandonio
1,gmoney38,131.44,ConnorZar
1,kevinwells33,119.6,tommybruggeman
1,nandonio,125.36,chaychayy
1,tommybruggeman,128.26,kevinwells33
2,ConnorZar,114.34,kevinwells33
2,Dburruel,154.2,chaychayy
2,MekelS,120.9,tommybruggeman
2,RollPads,125.24,nandonio
2,chaseseyforth,150.46,gmoney38
2,chaychayy,144.7,Dburruel
2,gmoney38,114.18,chaseseyforth
2,kevinwells33,79.28,ConnorZar
2,nandonio,107.54,RollPads
2,tommybruggeman,49.9,MekelS
3,ConnorZar,121.18,Dburruel
3,Dburruel,105.88,ConnorZar
3,MekelS,89.3,kevinwells33
3,RollPads,79.74,chaychayy
3,chaseseyforth,115.94,nandonio
3,chaychayy,97.38,RollPads
3,gmoney38,128.56,tommybruggeman
3,kevinwells33,104.78,MekelS
3,nandonio,97.96,chaseseyforth
3,tommybruggeman,122.86,gmoney38
4,ConnorZar,143.94,MekelS
4,Dburruel,110.42,RollPads
4,MekelS,153.22,ConnorZar
4,RollPads,126.0,Dburruel
4,chaseseyforth,131.86,chaychayy
4,chaychayy,96.48,chaseseyforth
4,gmoney38,116.48,kevinwells33
4,kevinwells33,88.96,gmoney38
4,nandonio,147.46,tommybruggeman
4,tommybruggeman,159.4,nandonio
5,ConnorZar,148.56,tommybruggeman
5,Dburruel,109.08,nandonio
5,MekelS,113.24,gmoney38
5,RollPads,138.32,chaseseyforth
5,chaseseyforth,81.68,RollPads
5,chaychayy,160.84,kevinwells33
5,gmoney38,164.22,MekelS
5,kevinwells33,115.3,chaychayy
5,nandonio,131.76,Dburruel
5,tommybruggeman,130.44,ConnorZar
6,ConnorZar,124.6,chaychayy
6,Dburruel,185.44,tommybruggeman
6,MekelS,86.66,chaseseyforth
6,RollPads,103.88,gmoney38
6,chaseseyforth,83.24,MekelS
6,chaychayy,142.9,ConnorZar
6,gmoney38,132.1,RollPads
6,kevinwells33,130.62,nandonio
6,nandonio,116.66,kevinwells33
6,tommybruggeman,61.4,Dburruel
7,ConnorZar,140.04,RollPads
7,Dburruel,142.88,kevinwells33
7,MekelS,114.46,nandonio
7,RollPads,142.1,ConnorZar
7,chaseseyforth,99.2,tommybruggeman
7,chaychayy,152.62,gmoney38
7,gmoney38,105.74,chaychayy
7,kevinwells33,111.64,Dburruel
7,nandonio,101.36,MekelS
7,tommybruggeman,85.78,chaseseyforth
8,ConnorZar,146.18,nandonio
8,Dburruel,114.48,gmoney38
8,MekelS,134.74,chaychayy
8,RollPads,118.24,tommybruggeman
8,chaseseyforth,114.58,kevinwells33
8,chaychayy,113.24,MekelS
8,gmoney38,96.96,Dburruel
8,kevinwells33,90.1,chaseseyforth
8,nandonio,123.1,ConnorZar
8,tommybruggeman,91.48,RollPads
9,ConnorZar,0.0,chaseseyforth
9,Dburruel,0.0,MekelS
9,MekelS,0.0,Dburruel
9,RollPads,0.0,kevinwells33
9,chaseseyforth,0.0,ConnorZar
9,chaychayy,0.0,tommybruggeman
