Week,Team,Score,OppScore,Win,Rank,Top5_wk,Points_wk
1,gmoney38,131.44,63.4,1,1,1,3
1,tommybruggeman,128.26,119.6,1,2,1,3
1,nandonio,125.36,99.88,1,3,1,3
1,kevinwells33,119.6,128.26,0,4,1,1
1,MekelS,114.32,103.14,1,5,1,3
1,RollPads,103.14,114.32,0,6,0,0
1,chaychayy,99.88,125.36,0,7,0,0
1,Dburruel,95.88,90.42,1,8,0,2
1,chaseseyforth,90.42,95.88,0,9,0,0
1,ConnorZar,63.4,131.44,0,10,0,0
2,Dburruel,154.2,144.7,1,1,1,3
2,chaseseyforth,150.46,114.18,1,2,1,3
2,chaychayy,144.7,154.2,0,3,1,1
2,RollPads,125.24,107.54,1,4,1,3
2,MekelS,120.9,49.9,1,5,1,3
2,ConnorZar,114.34,79.28,1,6,0,2
2,gmoney38,114.18,150.46,0,7,0,0
2,nandonio,107.54,125.24,0,8,0,0
2,kevinwells33,79.28,114.34,0,9,0,0
2,tommybruggeman,49.9,120.9,0,10,0,0
3,gmoney38,128.56,122.86,1,1,1,3
3,tommybruggeman,122.86,128.56,0,2,1,1
3,ConnorZar,121.18,105.88,1,3,1,3
3,chaseseyforth,115.94,97.96,1,4,1,3
3,Dburruel,105.88,121.18,0,5,1,1
3,kevinwells33,104.78,89.3,1,6,0,2
3,nandonio,97.96,115.94,0,7,0,0
3,chaychayy,97.38,79.74,1,8,0,2
3,MekelS,89.3,104.78,0,9,0,0
3,RollPads,79.74,97.38,0,10,0,0
4,tommybruggeman,159.4,147.46,1,1,1,3
4,MekelS,153.22,143.94,1,2,1,3
4,nandonio,147.46,159.4,0,3,1,1
4,ConnorZar,143.94,153.22,0,4,1,1
4,chaseseyforth,131.86,96.48,1,5,1,3
4,RollPads,126.0,110.42,1,6,0,2
4,gmoney38,116.48,88.96,1,7,0,2
4,Dburruel,110.42,126.0,0,8,0,0
4,chaychayy,96.48,131.86,0,9,0,0
4,kevinwells33,88.96,116.48,0,10,0,0
5,gmoney38,164.22,113.24,1,1,1,3
5,chaychayy,160.84,115.3,1,2,1,3
5,ConnorZar,148.56,130.44,1,3,1,3
5,RollPads,138.32,81.68,1,4,1,3
5,nandonio,131.76,109.08,1,5,1,3
5,tommybruggeman,130.44,148.56,0,6,0,0
5,kevinwells33,115.3,160.84,0,7,0,0
5,MekelS,113.24,164.22,0,8,0,0
5,Dburruel,109.08,131.76,0,9,0,0
5,chaseseyforth,81.68,138.32,0,10,0,0
6,Dburruel,185.44,61.4,1,1,1,3
6,chaychayy,142.9,124.6,1,2,1,3
6,gmoney38,132.1,103.88,1,3,1,3
6,kevinwells33,130.62,116.66,1,4,1,3
6,ConnorZar,124.6,142.9,0,5,1,1
6,nandonio,116.66,130.62,0,6,0,0
6,RollPads,103.88,132.1,0,7,0,0
6,MekelS,86.66,83.24,1,8,0,2
6,chaseseyforth,83.24,86.66,0,9,0,0
6,tommybruggeman,61.4,185.44,0,10,0,0
7,chaychayy,152.62,105.74,1,1,1,3
7,Dburruel,142.88,111.64,1,2,1,3
7,RollPads,142.1,140.04,1,3,1,3
7,ConnorZar,140.04,142.1,0,4,1,1
7,MekelS,114.46,101.36,1,5,1,3
7,kevinwells33,111.64,142.88,0,6,0,0
7,gmoney38,105.74,152.62,0,7,0,0
7,nandonio,101.36,114.46,0,8,0,0
7,chaseseyforth,99.2,85.78,1,9,0,2
7,tommybruggeman,85.78,99.2,0,10,0,0
8,ConnorZar,146.18,123.1,1,1,1,3
8,MekelS,134.74,113.24,1,2,1,3
8,nandonio,123.1,146.18,0,3,1,1
8,RollPads,118.24,91.48,1,4,1,3
8,chaseseyforth,114.58,90.1,1,5,1,3
8,Dburruel,114.48,96.96,1,6,0,2
8,chaychayy,113.24,134.74,0,7,0,0
8,gmoney38,96.96,114.48,0,8,0,0
8,tommybruggeman,91.48,118.24,0,9,0,0
8,kevinwells33,90.1,114.58,0,10,0,0
9,ConnorZar,165.08,133.08,1,1,1,3
9,kevinwells33,148.8,104.82,1,2,1,3
9,MekelS,138.32,117.76,1,3,1,3
9,chaseseyforth,133.08,165.08,0,4,1,1
9,Dburruel,117.76,138.32,0,5,1,1
9,chaychayy,115.06,86.18,1,6,0,2
9,RollPads,104.82,148.8,0,7,0,0
9,gmoney38,98.2,82.5,1,8,0,2
9,tommybruggeman,86.18,115.06,0,9,0,0
9,nandonio,82.5,98.2,0,10,0,0
