Team,StandingPoints,PF,PA,Wins,Top5,Games,Losses,PF Per Game,PA Per Game
ConnorZar,17,1167.32,1141.44,5,7,9,4,129.7,126.8
Dburruel,15,1136.02,1022.38,5,5,9,4,126.2,113.6
MekelS,20,1065.16,981.5799999999999,7,6,9,2,118.4,109.1
RollPads,14,1041.48,1023.76,5,4,9,4,115.7,113.8
chaseseyforth,15,1000.46,970.44,5,5,9,4,111.2,107.8
chaychayy,14,1123.1,1057.72,5,4,9,4,124.8,117.5
gmoney38,16,1087.8799999999999,992.4,6,4,9,3,120.9,110.3
kevinwells33,9,989.0799999999999,1088.16,3,3,9,6,109.9,120.9
nandonio,8,1033.7,1099.0,2,4,9,7,114.9,122.1
tommybruggeman,7,915.7,1183.02,2,3,9,7,101.7,131.4
